	avg (N)	avg (S)	tr (N)	tr (S)	imw (N)	imw (S)	bay (N)	bay (S)	cp (N)	cp (S)
4096	58	15	1.30	1.95	1.97	3.59	4m16	4m16	300	302
8192	940	17	4.84	3.11	4.61	44	16m16	16m16	1409	1227
16384	14992	15.97	15.50	8.89	35	101	75m4	17m57	9657	5987
32768	218411	34.5	61.54	31.27	171	880	424m5	16m57	nan	24073
65536	nan	100.17	288.3	205.1	238.15	1683	2650m11	24m28		82330
131072		236	1258	930	1928	14226		30m8		165805
