	avg (N)	avg (S)	tr (N)	tr (S)	imw (N)	imw (S)	bay (N)	bay (S)	cp (N)	cp (S)
4096	0.534	0.455	0.5	0.5	2.42	2.37	2.66	2.66	1.59	1.55
8192	1.14	0.498	0.604	0.6	2.54	2.39	9.16	9.16	6.46	1.78
16384	5.35	0.670	1.16	1.07	3.02	2.45	32.76	9.09	23.92	1.85
32768	20.70	0.797	5.30	2.54	6.08	2.77		9.78	239.02	2.20
65536	88	1.20	27.51	3.10	83.26	2.88		9.46		2.31
131072		2.36	121.47	4.18	641.22	2.10		11.51		2.60
